"quality_parameter_id","item_id","quality_parameter_range_value"
"QPARAM0101","ITEM124","small"
"QPARAM972","DIE01","sdf"
"QPARAM972","DIE01","sdfasf"
"QPARAM1057","TAT01","small"
"QPARAM1058","","ghb"
"QPARAM1068","","small"
"QPARAM1074","PAC05","small"
"QPARAM1088","DIE03","small"
"QPARAM1161","TAT01","s"
"QPARAM1169","MIG01","small"
"QPARAM1170","CON01",""
"QPARAM1170","CON01",""
"QPARAM1170","FLUX02",""
"QPARAM1170","FLUX02",""
"QPARAM1171","FLUX02",""
"QPARAM1171","FLUX02",""
"QPARAM1176","TAT01","rger"
"QPARAM1176","TAT01","sarfgdrfg"
"QPARAM1176","TAT01","sdfwsdf"
"QPARAM1176","TAT01","rger"
"QPARAM1176","TAT01","sarfgdrfg"
"QPARAM1176","TAT01","sdfwsdf"
"QPARAM1178","TAT01","dfg"
"QPARAM1227","TAT01","ty"
"QPARAM1227","TAT01","nmjm"
"QPARAM1233","TAT01","small"
"QPARAM1233","TAT01","xfghgh"
"QPARAM0101","ITEM124","medium"
"QPARAM0101","ITEM124","large"
